Title_en,SubTitle_en,CodeFlag,Value,MeaningParameterDescription_en,Note_en,noteIDs,UnitComments_en,Status
Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",27,,Bidirectional reflectance factor,(see Note 1),98,numeric,Operational
Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",28,,Brightness temperature,,,K,Operational
Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",29,,Scaled radiance,(see Note 2),114,numeric,Operational
Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",30-97,,Reserved,,,,Operational
Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",98,,Correlation coefficient between MPE rain-rates for the co-located IR data and the microwave data rain-rates,,,Numeric,Operational
Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",99,,Standard deviation between MPE rain-rates for the co-located IR data and the microwave data rain-rates,,,kg m-2 s-1,Operational
Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",100-191,,Reserved,,,,Operational
Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",192-254,,Reserved for local use,,,,Operational
Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",255,,Missing,,,,Operational
Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",0,,Clear sky probability,,,%,Operational
Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",1,,Cloud top temperature,,,K,Operational
Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",2,,Cloud top pressure,,,Pa,Operational
Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",3,,Cloud type,,,(Code table 4.218),Operational
Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",4,,Cloud phase,,,(Code table 4.218),Operational
Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",5,,Cloud optical depth,,,Numeric,Operational
Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",6,,Cloud particle effective radius,,,m,Operational
Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",7,,Cloud liquid water path,,,kg m-2,Operational
Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",8,,Cloud ice water path,,,kg m-2,Operational
Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",9,,Cloud albedo,,,Numeric,Operational
Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",10,,Cloud emissivity,,,Numeric,Operational
Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",11,,Effective absorption optical depth ratio,,,Numeric,Operational
Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",30,,Measurement cost,,,Numeric,Operational
Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",31,,Upper layer cloud optical depth,"(see Note)",70,Numeric,Deprecated
Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",32,,Upper layer cloud top pressure,"(see Note)",70,Pa,Deprecated
Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",33,,Upper layer cloud effective radius,"(see Note)",70,m,Deprecated
Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",34,,Error in upper layer cloud optical depth,"(see Note)",70,Numeric,Deprecated
